"Grade of Steel","Automotive application","Scrap Steel (%)","DRI or Pig Iron (%)","Iron Ore (%)","Phosphorus (%)","Carbon (%)","Melting Time (EAF)","Production Volume",Yield,"BF Stage Cycle Time","EAF Stage Cycle Time","LRF Stage Cycle Time","Total Cycle Time","BF Electricity (kWh)","EAF Electricity (kWh)","LRF Electricity (kWh)","Total Electricity Consumption (kWh)","Original Cost per Ton","New Scrap Steel (%)","New DRI or Pig Iron (%)","New Iron Ore (%)","New Electricity Consumption (kWh) Total","BF Electricity (kWh) (New)","EAF Electricity (kWh) (New)","LRF Electricity (kWh) (New)","Estimated Cost per Ton ($)"
"ASTM A514",Chassis,13,75,10,0.05,0.45,"2.5 hours","900 tons",86%,"2.2 hours","2.2 hours","1.1 hours","5.8 hours",650,650,325,1625,$300,15,75,10,1480,592,592,296,$280
"ASTM A572","Frame structures, reinforcements",13,80,10,0.06,0.55,"2.8 hours","1000 tons",84%,"2.5 hours","2.5 hours","1.2 hours","6.2 hours",700,700,350,1750,$310,10,80,10,1600,640,640,320,$285
"ASTM A588","Structural components, brackets",13,85,7,0.07,0.65,"3.0 hours","1100 tons",82%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,8,85,7,1720,688,688,344,$290
"ASTM A656","Frame parts",13,87,6,0.08,0.75,"3.2 hours","1200 tons",80%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,7,87,6,1850,740,740,370,$295
"ASTM A709","Bridges, truck frames",13,88,6,0.09,0.85,"3.5 hours","1300 tons",78%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$340,6,88,6,1970,788,788,394,$300
"STM A710","Structural components",13,85,7,0.06,0.75,"3.0 hours","1100 tons",85%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,8,85,7,1720,688,688,344,$290
"ASTM A992","Structural components, chassis",13,87,7,0.07,0.65,"3.2 hours","1200 tons",84%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,6,87,7,1850,740,740,370,$295
"ASTM A1008","Body panels, structural components",30,60,10,0.02,0.08,"1.5 hours","500 tons",95%,"1.2 hours","1.2 hours","0.6 hours","3.0 hours",400,400,200,1000,$250,30,60,10,900,360,360,180,$250
"ASTM A1011","Structural components, automotive frames",13,65,10,0.03,0.18,"1.8 hours","600 tons",94%,"1.5 hours","1.5 hours","0.7 hours","3.7 hours",480,480,240,1200,$260,25,65,10,1100,440,440,220,$255
"ASTM A1018","High-strength steel for chassis components",13,70,10,0.04,0.28,"2.0 hours","700 tons",93%,"1.8 hours","1.8 hours","0.8 hours","4.4 hours",550,550,275,1375,$270,20,70,10,1255,502,502,251,$265
"ASTM A1043","Structural steel for truck frames",13,75,10,0.05,0.35,"2.2 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.2 hours",600,600,300,1500,$280,15,75,10,1375,550,550,275,$270
"ASTM A1066","Structural applications",13,78,10,0.06,0.4,"2.5 hours","900 tons",91%,"2.2 hours","2.2 hours","1.1 hours","5.8 hours",650,650,325,1625,$290,12,78,10,1495,598,598,299,$280
"SAE 1541","Gears, shafts, axles",13,80,10,0.07,0.45,"2.8 hours","1000 tons",90%,"2.5 hours","2.5 hours","1.2 hours","6.5 hours",700,700,350,1750,$300,10,80,10,1600,640,640,320,$285
"SAE 2330","Bolts, nuts, structural components",13,85,7,0.08,0.5,"3.0 hours","1100 tons",89%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$310,8,85,7,1720,688,688,344,$290
"SAE 3135","High-stress components, gears",13,87,6,0.09,0.55,"3.2 hours","1200 tons",88%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$320,7,87,6,1850,740,740,370,$295
"SAE 6150","High-strength springs, wear-resistant parts",13,88,6,0.1,0.6,"3.5 hours","1300 tons",87%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$330,6,88,6,1970,788,788,394,$300
"SAE 9260","Springs, high-stress components",13,90,5,0.02,0.65,"3.8 hours","1400 tons",86%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$340,5,90,5,2075,830,830,415,$305
S235JR,"Structural steel for frame parts",13,60,15,0.03,0.25,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,25,60,15,1275,510,510,255,$260
S275JR,"Structural steel for chassis components",13,65,15,0.04,0.35,"2.2 hours","800 tons",88%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",600,600,300,1500,$290,20,65,15,1375,550,550,275,$270
S355JR,"Structural applications",13,70,15,0.05,0.45,"2.5 hours","900 tons",86%,"2.2 hours","2.2 hours","1.1 hours","5.8 hours",650,650,325,1625,$300,15,70,15,1485,594,594,297,$280
S355J2,"Structural components, frame parts",13,75,13,0.06,0.55,"2.8 hours","1000 tons",84%,"2.5 hours","2.5 hours","1.2 hours","6.2 hours",700,700,350,1750,$310,12,75,13,1605,642,642,321,$285
S420MC,"High-strength steel for chassis",13,80,10,0.07,0.65,"3.0 hours","1100 tons",82%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,10,80,10,1725,690,690,345,$290
S460MC,"Structural components, high-stress parts",13,85,7,0.08,0.75,"3.2 hours","1200 tons",80%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,40,50,10,1100,440,400,260,$275
S500MC,"High-strength steel for safety components",13,87,6,0.09,0.85,"3.5 hours","1300 tons",78%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$340,40,45,15,1260,504,450,260,$280
S550MC,"Structural reinforcements, crash-resistant parts",13,88,6,0.1,0.95,"3.8 hours","1400 tons",76%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$350,30,60,10,1320,528,528,270,$275
S600MC,"High-strength steel for crash structures",13,90,5,0.02,1.05,"4.0 hours","1500 tons",75%,"3.8 hours","3.8 hours","1.9 hours","9.5 hours",950,950,475,2375,$360,25,65,10,1475,590,590,280,$280
S650MC,"Structural parts requiring high strength",13,92,4,0.03,1.15,"4.2 hours","1600 tons",74%,"4.0 hours","4.0 hours","2.0 hours","10.0 hours",1000,1000,500,2500,$370,25,65,10,1475,590,590,295,$280
S700MC,"Safety components, reinforcements",13,95,2,0.04,1.25,"4.5 hours","1700 tons",72%,"4.2 hours","4.2 hours","2.1 hours","10.5 hours",1050,1050,525,2625,$380,20,70,10,1540,616,616,308,$285
S960MC,"Ultra-high-strength structural components",13,97,1,0.05,1.35,"4.8 hours","1800 tons",70%,"4.5 hours","4.5 hours","2.3 hours","11.3 hours",1100,1100,550,2750,$390,15,75,10,1650,660,660,330,$290
S1100MC,"Ultra-high-strength steel for safety components",13,98,1,0.06,1.45,"5.0 hours","1900 tons",68%,"4.8 hours","4.8 hours","2.4 hours","12.0 hours",1150,1150,575,2875,$400,10,80,10,1760,704,704,352,$295
HC380LA,"High-strength low-alloy steel for body panels",13,70,15,0.07,0.55,"2.5 hours","900 tons",86%,"2.2 hours","2.2 hours","1.1 hours","5.8 hours",650,650,325,1625,$300,40,50,10,1100,440,400,260,$275
HC420LA,"Structural components, crash reinforcements",13,75,13,0.08,0.65,"2.8 hours","1000 tons",84%,"2.5 hours","2.5 hours","1.2 hours","6.2 hours",700,700,350,1750,$310,40,45,15,1260,504,450,260,$280
HC500LA,"High-strength structural steel for chassis",13,80,10,0.09,0.75,"3.0 hours","1100 tons",82%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,30,60,10,1320,528,528,270,$275
HC550LA,"Safety components, structural reinforcements",13,85,7,0.1,0.85,"3.2 hours","1200 tons",80%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,25,65,10,1475,590,590,280,$280
HC600LA,"High-strength structural steel",13,87,6,0.02,0.95,"3.5 hours","1300 tons",78%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$340,25,65,10,1475,590,590,295,$280
HC700LA,"Ultra-high-strength steel for crash structures",13,88,6,0.03,1.05,"3.8 hours","1400 tons",76%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$350,20,70,10,1540,616,616,308,$285
DP500,"Dual-phase steel for body panels",13,70,10,0.04,0.25,"2.0 hours","700 tons",88%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,20,70,10,1400,560,280,140,$280
DP600,"Structural parts, side-impact beams",13,72,10,0.05,0.3,"2.2 hours","800 tons",86%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",600,600,300,1500,$290,18,72,10,1500,600,300,150,$290
DP700,"High-strength structural components",13,75,10,0.06,0.35,"2.5 hours","900 tons",84%,"2.2 hours","2.2 hours","1.1 hours","5.8 hours",650,650,325,1625,$300,15,75,10,1625,650,325,163,$300
DP800,"Structural reinforcements, crash-resistant parts",13,78,10,0.07,0.4,"2.8 hours","1000 tons",82%,"2.5 hours","2.5 hours","1.2 hours","6.2 hours",700,700,350,1750,$310,12,78,10,1750,700,350,175,$310
DP900,"Ultra-high-strength structural components",13,80,10,0.08,0.45,"3.0 hours","1100 tons",80%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,10,80,10,1875,750,375,188,$320
DP1000,"Safety components, crash reinforcements",13,82,10,0.09,0.5,"3.2 hours","1200 tons",78%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,8,82,10,2000,800,400,200,$330
TRIP400,"Body panels, door reinforcements",13,60,15,0.05,1,"3.5 hours","1300 tons",80%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$340,25,60,15,2125,850,425,213,$340
TRIP600,"Structural parts, crash reinforcements",13,65,15,0.06,1.1,"3.8 hours","1400 tons",78%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$350,20,65,15,2250,900,450,225,$350
TRIP700,"High-strength structural components",13,68,14,0.07,1.2,"4.0 hours","1500 tons",76%,"3.8 hours","3.8 hours","1.9 hours","9.5 hours",950,950,475,2375,$360,18,68,14,2375,950,475,238,$360
TRIP800,"Structural reinforcements, safety parts",13,70,15,0.08,1.3,"4.2 hours","1600 tons",74%,"4.0 hours","4.0 hours","2.0 hours","10.0 hours",1000,1000,500,2500,$370,15,70,15,2500,1000,500,250,$370
TRIP900,"Ultra-high-strength structural components",13,72,16,0.09,1.4,"4.5 hours","1700 tons",72%,"4.2 hours","4.2 hours","2.1 hours","10.5 hours",1050,1050,525,2625,$380,12,72,16,2625,1050,525,263,$380
TRIP1000,"Crash-resistant structures, safety components",13,75,15,0.1,1.5,"4.8 hours","1800 tons",70%,"4.5 hours","4.5 hours","2.3 hours","11.3 hours",1100,1100,550,2750,$390,10,75,15,2750,1100,550,275,$390
QStE340TM,"Structural steel for frame parts",80,60,15,0.04,0.8,"3.0 hours","1100 tons",82%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,25,60,15,2125,850,425,213,$340
QStE380TM,"Structural steel for chassis components",13,65,13,0.05,0.9,"3.2 hours","1200 tons",80%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,22,65,13,2200,880,440,220,$350
QStE420TM,"High-strength structural steel",13,68,12,0.06,1,"3.5 hours","1300 tons",78%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$340,20,68,12,2250,900,450,225,$360
QStE460TM,"Structural components, high-stress parts",13,70,12,0.07,1.1,"3.8 hours","1400 tons",76%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$350,18,70,12,2375,950,475,238,$370
QStE500TM,"High-strength steel for safety components",13,72,13,0.08,1.2,"4.0 hours","1500 tons",74%,"3.8 hours","3.8 hours","1.9 hours","9.5 hours",950,950,475,2375,$360,15,72,13,2500,1000,500,250,$380
QStE550TM,"Structural reinforcements, crash-resistant parts",13,75,13,0.09,1.3,"4.2 hours","1600 tons",72%,"4.0 hours","4.0 hours","2.0 hours","10.0 hours",1000,1000,500,2500,$370,12,75,13,2625,1050,525,263,$390
QStE600TM,"High-strength steel for crash structures",13,78,12,0.1,1.4,"4.5 hours","1700 tons",70%,"4.2 hours","4.2 hours","2.1 hours","10.5 hours",1050,1050,525,2625,$380,10,78,12,2750,1100,550,275,$400
QStE650TM,"Structural parts requiring high strength",13,80,12,0.11,1.5,"4.8 hours","1800 tons",68%,"4.5 hours","4.5 hours","2.3 hours","11.3 hours",1100,1100,550,2750,$390,8,80,12,2875,1150,575,288,$410
QStE700TM,"Safety components, reinforcements",13,82,11,0.12,1.6,"5.0 hours","1900 tons",66%,"4.8 hours","4.8 hours","2.4 hours","12.0 hours",1150,1150,575,2875,$400,6,82,11,3000,1200,600,300,$420
22MnB5,"Hot-stamped components like B-pillars, bumpers",80,60,10,0.05,0.7,"2.8 hours","1000 tons",84%,"2.5 hours","2.5 hours","1.2 hours","6.2 hours",700,700,350,1750,$310,30,60,10,1750,700,350,175,$310
30MnB5,"Structural parts requiring high strength",80,62,10,0.06,0.8,"3.0 hours","1100 tons",82%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,28,62,10,1875,750,375,188,$320
34MnB5,"High-strength structural steel",80,64,10,0.07,0.9,"3.2 hours","1200 tons",80%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,30,60,10,1100,440,400,260,$275
38MnB5,"Structural reinforcements, high-stress parts",13,66,10,0.08,1,"3.5 hours","1300 tons",78%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$340,30,60,10,1260,504,450,260,$280
40MnB5,"Structural steel for crash structures",13,68,10,0.09,1.1,"3.8 hours","1400 tons",76%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$350,30,60,10,1320,528,528,270,$275
16MnCr5,"Gears, shafts, high-stress components",80,55,10,0.1,0.9,"3.0 hours","1100 tons",82%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",750,750,375,1875,$320,26,64,10,800,320,320,200,$250
20MnCr5,"Structural components, gears",80,58,10,0.1,1,"3.2 hours","1200 tons",80%,"3.0 hours","3.0 hours","1.5 hours","7.5 hours",800,800,400,2000,$330,32,58,10,850,340,340,210,$260
18CrNiMo7-6,"High-strength gears, heavy-duty axles",80,52,10,0.12,1.1,"3.5 hours","1300 tons",78%,"3.2 hours","3.2 hours","1.6 hours","8.0 hours",850,850,425,2125,$340,38,52,10,900,360,360,230,$270
20CrMo5,"Structural components, gears, axles",80,54,10,0.13,1.2,"3.8 hours","1400 tons",76%,"3.5 hours","3.5 hours","1.8 hours","8.8 hours",900,900,450,2250,$350,36,54,10,950,380,380,240,$280
30CrMo5,"High-stress components, gears",80,56,10,0.14,1.3,"4.0 hours","1500 tons",74%,"3.8 hours","3.8 hours","1.9 hours","9.5 hours",950,950,475,2375,$360,34,56,10,1000,400,400,250,$290
34CrMo4,"Structural components, shafts",80,58,10,0.15,1.4,"4.2 hours","1600 tons",72%,"4.0 hours","4.0 hours","2.0 hours","10.0 hours",1000,1000,500,2500,$370,32,58,10,1050,420,420,260,$300
42CrMo4,"High-stress components, gears, axles",80,60,10,0.16,1.5,"4.5 hours","1700 tons",70%,"4.2 hours","4.2 hours","2.1 hours","10.5 hours",1050,1050,525,2625,$380,30,60,10,1100,440,440,270,$310
36CrNiMo4,"Structural components, gears, shafts",80,62,10,0.17,1.6,"4.8 hours","1800 tons",68%,"4.5 hours","4.5 hours","2.3 hours","11.3 hours",1100,1100,550,2750,$390,28,62,10,1150,460,460,280,$320
34CrNiMo6,"High-strength components, gears",80,64,10,0.18,1.7,"5.0 hours","1900 tons",66%,"4.8 hours","4.8 hours","2.4 hours","12.0 hours",1150,1150,575,2875,$400,26,64,10,1200,480,480,290,$330
40CrNiMo6,"Structural parts requiring high strength",13,66,11,0.19,1.8,"5.2 hours","2000 tons",64%,"5.0 hours","5.0 hours","2.5 hours","12.5 hours",1200,1200,600,3000,$410,24,66,11,1250,500,500,300,$340
18Cr2Ni4WA,"Gears, high-strength components",80,50,10,0.2,1.9,"5.5 hours","2100 tons",62%,"5.2 hours","5.2 hours","2.6 hours","13.0 hours",1250,1250,625,3125,$420,40,50,10,1300,520,520,310,$350
20Cr2Ni4,"High-stress components, gears",80,52,10,0.21,2,"5.8 hours","2200 tons",60%,"5.5 hours","5.5 hours","2.8 hours","13.8 hours",1300,1300,650,3250,$430,38,52,10,1320,528,528,325,$360
40CrMnMoS8-6,"Structural components, gears, shafts",80,48,10,0.22,2.1,"6.0 hours","2300 tons",58%,"5.8 hours","5.8 hours","2.9 hours","14.5 hours",1350,1350,675,3375,$440,z,48,10,1350,540,540,280,$320
15B21,"High-strength structural components",80,60,10,0.23,2.2,"6.2 hours","2400 tons",56%,"6.0 hours","6.0 hours","3.0 hours","15.0 hours",1400,1400,700,3500,$450,30,60,10,1400,560,560,300,$330
30B21,"Structural reinforcements, high-stress parts",80,62,11,0.24,2.3,"6.5 hours","2500 tons",54%,"6.2 hours","6.2 hours","3.1 hours","15.5 hours",1450,1450,725,3625,$460,28,62,11,1450,580,580,310,$340
35B23,"Structural steel for crash structures",80,64,11,0.25,2.4,"6.8 hours","2600 tons",52%,"6.5 hours","6.5 hours","3.3 hours","16.3 hours",1500,1500,750,3750,$470,26,64,11,1500,600,600,330,$360
10B21,"Structural parts requiring high strength",13,66,11,0.26,2.5,"7.0 hours","2700 tons",50%,"6.8 hours","6.8 hours","3.4 hours","17.0 hours",1550,1550,775,3875,$480,24,66,11,1550,620,620,350,$380
35B25,"Safety components, reinforcements",13,68,11,0.27,2.6,"7.2 hours","2800 tons",48%,"7.0 hours","7.0 hours","3.5 hours","17.5 hours",1600,1600,800,4000,$490,22,68,11,1600,640,640,360,$400
45B27,"Ultra-high-strength structural components",13,70,11,0.28,2.7,"7.5 hours","2900 tons",46%,"7.2 hours","7.2 hours","3.6 hours","18.0 hours",1650,1650,825,4125,$500,20,70,11,1650,660,660,370,$420
50B25,"Ultra-high-strength steel for safety components",13,72,12,0.29,2.8,"7.8 hours","3000 tons",44%,"7.5 hours","7.5 hours","3.8 hours","18.8 hours",1700,1700,850,4250,$510,18,72,12,1700,680,680,380,$440
"AISI 1015","Control arms, brackets, small structural parts",60,30,10,0.3,2.9,"8.0 hours","3100 tons",42%,"7.8 hours","7.8 hours","3.9 hours","19.5 hours",1750,1750,875,4375,$520,60,30,10,1750,700,700,390,$460
"AISI 1025","Engine components, small gears, pins",58,32,10,0.31,3,"8.2 hours","3200 tons",40%,"8.0 hours","8.0 hours","4.0 hours","20.0 hours",1800,1800,900,4500,$530,58,32,10,1800,720,720,400,$480
"AISI 1035","Bolts, axles, shafts",56,34,11,0.32,3.1,"8.5 hours","3300 tons",38%,"8.2 hours","8.2 hours","4.1 hours","20.5 hours",1850,1850,925,4625,$540,56,34,11,1850,740,740,410,$500
"AISI 1055","Heavy-duty springs, axles",54,36,11,0.33,3.2,"8.8 hours","3400 tons",36%,"8.5 hours","8.5 hours","4.3 hours","21.3 hours",1900,1900,950,4750,$550,54,36,11,1900,760,760,420,$520
"AISI 1065","High-stress components, gears",52,38,11,0.34,3.3,"9.0 hours","3500 tons",34%,"8.8 hours","8.8 hours","4.4 hours","22.0 hours",1950,1950,975,4875,$560,52,38,11,1950,780,780,420,$500
"AISI 1085","Wear-resistant parts, structural components",50,40,12,0.35,3.4,"9.2 hours","3600 tons",32%,"9.0 hours","9.0 hours","4.5 hours","22.5 hours",2000,2000,1000,5000,$570,50,40,12,2000,800,800,450,$530
"AISI 1095","High-strength springs, heavy-duty components",48,42,12,0.36,3.5,"9.5 hours","3700 tons",30%,"9.2 hours","9.2 hours","4.6 hours","23.0 hours",2050,2050,1025,5125,$580,48,42,12,2050,820,820,460,$560
"AISI 1137","Bolts, shafts, pins",75,20,5,0.02,0.37,"2.5 hours","500 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",800,800,400,2000,$400,75,20,5,800,320,320,180,$250
"AISI 1141","High-strength bolts, axles",80,15,5,0.03,0.4,"2.7 hours","550 tons",90%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",850,850,425,2125,$420,80,15,5,850,340,340,190,$260
"AISI 1144","High-stress components, shafts",70,25,5,0.04,0.45,"2.8 hours","600 tons",88%,"2.4 hours","2.4 hours","1.2 hours","6.0 hours",900,900,450,2250,$440,70,25,5,900,360,360,200,$280
"AISI 1330","Gears, crankshafts, heavy-duty parts",65,30,5,0.05,0.5,"3.0 hours","650 tons",85%,"2.6 hours","2.6 hours","1.3 hours","6.5 hours",950,950,475,2375,$460,65,30,5,950,380,380,210,$300
"AISI 1541","Gears, high-stress components",60,35,5,0.06,0.55,"3.2 hours","700 tons",83%,"2.8 hours","2.8 hours","1.4 hours","7.0 hours",1000,1000,500,2500,$480,60,35,5,1000,400,400,220,$320
"AISI 4023","Structural components, gears",70,25,5,0.04,0.45,"2.8 hours","600 tons",88%,"2.4 hours","2.4 hours","1.2 hours","6.0 hours",900,900,450,2250,$440,70,25,5,900,360,360,200,$280
"AISI 4027","High-strength structural parts",75,20,5,0.03,0.4,"2.7 hours","550 tons",90%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",850,850,425,2125,$420,75,20,5,850,340,340,190,$260
"AISI 5120","Gears, shafts, axles",13,15,5,0.02,0.35,"2.3 hours","500 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",800,800,400,2000,$400,80,15,5,800,320,320,180,$250
"AISI 6150","High-strength springs, wear-resistant parts",80,10,5,0.01,0.3,"2.0 hours","450 tons",95%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",750,750,375,1875,$380,85,10,5,750,300,300,170,$230
"AISI 9260","Springs, high-stress components",80,5,5,0.01,0.25,"1.8 hours","400 tons",97%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",700,700,350,1750,$360,90,5,5,700,280,280,160,$210
"ASTM A27","Cast steel parts, structural components",80,15,5,0.03,0.2,"2.2 hours","500 tons",90%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",800,800,400,2000,$400,85,10,5,1300,520,520,260,$410
"ASTM A36","Frame components, body structures",13,20,5,0.02,0.25,"2.5 hours","600 tons",88%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",850,850,425,2125,$420,80,18,2,1150,460,460,230,$430
"ASTM A285","Pressure vessels, structural parts",80,17,5,0.04,0.3,"2.8 hours","650 tons",85%,"2.4 hours","2.4 hours","1.2 hours","6.0 hours",900,900,450,2250,$440,76,19,5,1325,530,530,265,$425
"ASTM A307","Bolts, nuts, and fasteners",72,23,5,0.01,0.35,"2.3 hours","550 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",800,800,400,2000,$400,75,20,5,1275,510,510,255,$415
"ASTM A500","Structural tubing, chassis components",80,13,5,0.02,0.28,"2.6 hours","700 tons",87%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",850,850,425,2125,$420,84,12,4,1225,490,490,245,$425
